vehicle_id,Body_Type,Global_Sales_Sub-Segment,Brand,Nameplate,Driven_Wheels,Transmission,Turbo,Fuel_Type,PropSysDesign,Plugin,Registration_Type,Generation_Year,Length,Height,Width,Engine_KW,No_of_Gears,Curb_Weight,CO2,Fuel_cons_combined,date,country_name,year
45274,coupe,sport,chevrolet,camaro,rear,manual,non turbo,gas,ice,no,Passenger Cars,2015.0,4783.0,1349.0,1897.0,250.0,6.0,1521.0,268.0,11.2,2017-01-01,USA,2017
45275,suv,suv,foday,lan fu,rear,manual,turbo,gas,ice,no,Passenger Cars,2014.0,4771.0,1828.0,1870.0,160.0,5.0,1790.3470589324766,189.35291410816777,7.9311387023290525,2017-01-01,China,2017
45276,hatchback,car,tesla,model s,awd,automatic,non turbo,electricity,electric,yes,Passenger Cars,2012.0,4970.0,1435.0,1964.0,449.0,0.0,2175.0,0.0,0.0,2017-01-01,Germany,2017
45277,suv,suv,kia,sorento,front,automatic,turbo,diesel,ice,no,Passenger Cars,2014.0,4780.0,1685.0,1890.0,147.0,6.0,1878.029421582401,164.81525080991992,6.316334237390604,2017-01-01,China,2017
45278,suv,suv,volkswagen,teramont,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5039.0,1773.0,1989.0,162.0,7.0,2292.4188095238087,301.23333333333335,16.008999999999997,2017-01-01,China,2017
45279,hatchback,car,tesla,model s,awd,automatic,non turbo,electricity,electric,yes,Passenger Cars,2012.0,4978.0,1435.0,1963.0,386.0,0.0,2188.0,0.0,0.0,2017-01-01,USA,2017
45280,hatchback,car,volkswagen,new beetle,front,automatic,non turbo,gas,ice,no,Passenger Cars,2011.0,4277.0,1486.0,1808.0,157.0,6.0,1408.0,215.0,9.0,2017-01-01,USA,2017
45281,coupe,sport,aston martin,vantage,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2004.0,4385.0,1260.0,1865.0,328.0,7.0,1550.0,299.0,12.9,2017-01-01,Germany,2017
45282,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6940.0,2940.0,1993.0,103.0,6.0,2207.0,190.0,7.3,2017-01-01,Germany,2017
45283,coupe,sport,lamborghini,huracan,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2013.0,4459.0,1165.0,1924.0,427.0,7.0,1389.0,330.0,13.8,2017-01-01,USA,2017
45284,hatchback,car,porsche,panamera,awd,automatic,turbo,gas,ice,no,Passenger Cars,2016.0,5199.0,1432.0,1937.0,404.0,8.0,2100.0,215.0,9.4,2017-01-01,Germany,2017
45285,van,van,volkswagen,crafter,rear,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2006.0,6940.0,2940.0,1993.0,103.0,6.0,2207.0,205.0,7.9,2017-01-01,Germany,2017
45286,coupe,sport,alpina,6-series,awd,automatic,turbo,gas,ice,no,Passenger Cars,2011.0,5009.0,1397.0,1895.0,447.0,8.0,2168.0,313.0,13.1,2017-01-01,USA,2017
45287,hatchback,car,chevrolet,cruze,front,automatic,turbo,gas,ice,no,Passenger Cars,2014.0,4450.0,1475.0,1807.0,110.0,7.0,1358.5481971418785,129.45010101010106,6.088014593965441,2017-01-01,China,2017
45288,hatchback,car,tesla,model s,rear,automatic,non turbo,electricity,electric,yes,Passenger Cars,2012.0,4970.0,1435.0,1964.0,235.0,0.0,2175.0,0.0,0.0,2017-01-01,Germany,2017
45289,hatchback,car,skoda,octavia,front,manual,turbo,gas,ice,no,Passenger Cars,2013.0,4689.0,1448.0,1814.0,169.0,6.0,1420.0,149.0,6.5,2017-01-01,Germany,2017
45290,coupe,sport,aston martin,vantage,rear,manual,non turbo,gas,ice,no,Passenger Cars,2004.0,4385.0,1260.0,1865.0,328.0,6.0,1510.0,300.0,12.9,2017-01-01,Germany,2017
45291,van,van,volkswagen,crafter,front,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2016.0,7004.0,2321.0,2098.0,130.0,6.0,2206.0,204.0,7.8,2017-01-01,Germany,2017
45292,van,van,ford,transit,front,manual,turbo,diesel,ice,no,Light Commercial Vehicles,2012.0,5531.0,2536.0,2059.0,92.0,6.0,2206.0,180.0,6.8,2017-01-01,Germany,2017
45293,hatchback,car,tesla,model s,awd,automatic,non turbo,electricity,electric,yes,Passenger Cars,2012.0,4970.0,1435.0,1964.0,310.0,0.0,2175.0,0.0,0.0,2017-01-01,Germany,2017
45294,coupe,sport,nissan,z-series,rear,automatic,non turbo,gas,ice,no,Passenger Cars,2008.0,4255.0,1316.0,1844.0,243.0,7.0,1532.0,268.0,11.2,2017-01-01,USA,2017
45295,hatchback,car,tesla,model s,awd,automatic,non turbo,electricity,electric,yes,Passenger Cars,2012.0,4970.0,1435.0,1964.0,245.0,0.0,2175.0,0.0,0.0,2017-01-01,Germany,2017
45296,coupe,sport,nissan,z-series,rear,manual,non turbo,gas,ice,no,Passenger Cars,2008.0,4255.0,1316.0,1844.0,243.0,6.0,1521.0,268.0,11.2,2017-01-01,USA,2017
45297,wagon,car,skoda,octavia,front,automatic,turbo,gas,ice,no,Passenger Cars,2013.0,4689.0,1452.0,1814.0,169.0,6.0,1462.0,149.0,6.6,2017-01-01,Germany,2017
