vehicle_id,Curb_Weight,Price_USD,year
2,1729,33285,2010
4,1305,24535.71429,2010
5,1305,26268.75,2010
8,1725,35925,2010
9,1574,26780,2010
11,1725,27665,2010
13,1721,45600,2010
15,1691,31255,2010
17,1710,26580,2010
19,1650,28840,2010
20,1678,30835,2010
21,1710,48100,2010
23,1710,48100,2010
24,1730,69975,2010
26,1751,38860,2010
27,1751,40760,2010
28,1751,38860,2010
29,1751,42783.89764,2010
30,1751,36319.97186,2010
31,1751,37713.82227,2010
32,1751,36560,2010
33,1751,37704,2010
34,1751,53775,2010
40,1735,39200,2010
48,1700,33800,2010
56,1935,28905,2010
62,2105,42020,2010
63,1635,35175,2010
74,1660,51201.78571,2010
75,1660,50800,2010
76,1696,53200,2010
78,1875,57450,2010
79,1726,30814.33884,2010
80,1694,39275.74844,2010
81,1693,27260,2010
83,2440,180195,2010
84,1664,29860,2010
85,1737,31610,2010
86,1751,41947.58065,2010
92,1650,32445,2010
93,1664,30105,2010
94,1665,48250,2010
95,1665,48250,2010
97,1660,51250,2010
100,1752,31505,2010
107,1870,50200,2010
110,1864,54250,2010
112,1862,38010,2010
113,1860,50950,2010
120,1840,38230,2010
143,1946,40050,2010
149,1831,34021.56863,2010
153,1780,53200,2010
159,1770,53550,2010
160,1770,53000,2010
161,1770,53550,2010
162,1770,53000,2010
164,1766,42385,2010
169,1764,43385,2010
177,1820,89400,2010
178,1820,40300,2010
181,1818,46765.55556,2010
182,1817,94850,2010
189,1798,47550,2010
191,1795,52150,2010
192,1795,43309.4,2010
195,1790,60534.78261,2010
196,1790,60536.17021,2010
198,1788,38505,2010
199,1803,42813.82353,2010
203,1730.821111,54650,2010
204,1832.330912,73300,2010
205,1836.0289,72400,2010
206,1879.856294,97600,2010
207,1880.16046,97950,2010
208,1645.757638,48100,2010
209,1660.255234,77200,2010
210,1690.878158,82150,2010
211,2076.9751,108552.1739,2010
212,1413.331168,124900,2010
213,1643.190591,125400,2010
214,1790.05696,95150,2010
215,2215.814317,154400,2010
216,2202.164695,151900,2010
217,1674.762873,157200,2010
218,2085.407546,145200,2010
219,1717.008494,88475,2010
220,2597.571455,403142.8571,2010
221,2359.415778,186500,2010
222,2338.51686,208325,2010
225,1846,29490,2010
226,1582.159934,30193.54839,2010
228,1662.051393,37200,2010
229,1568.510879,24610,2010
230,1576.966773,28752.72727,2010
231,1655.853644,42000,2010
232,1559.72632,30049.14557,2010
233,1666.941744,36650,2010
234,1666.291744,35900,2010
235,1727.244716,38700,2010
236,1711.684204,53600,2010
237,1484.720909,25018,2010
238,1381.808932,35200,2010
239,1391.371486,37429.62963,2010
